from_id	to_id	variable_name	coefficient_name
2	1	aai	aai_2_1
2	1	amps	amps_2_1
2	1	blmz	blmz_2_1
2	1	c450	c450_2_1
2	1	c750	c750_2_1
2	1	cd1	cd1_2_1
2	1	constant	constant_2_1
2	1	crit	crit_2_1
2	1	dag	dag_2_1
2	1	dc	dc_2_1
2	1	dcbd	dcbd_2_1
2	1	dcri	dcri_2_1
2	1	ddt1	ddt1_2_1
2	1	de	de_2_1
2	1	dfre	dfre_2_1
2	1	di	di_2_1
2	1	dloc	dloc_2_1
2	1	dmu	dmu_2_1
2	1	dnlr	dnlr_2_1
2	1	dos	dos_2_1
2	1	dprd	dprd_2_1
2	1	dpub	dpub_2_1
2	1	dres	dres_2_1
2	1	dt1	dt1_2_1
2	1	dtim	dtim_2_1
2	1	dwat	dwat_2_1
2	1	dwet	dwet_2_1
2	1	fai	fai_2_1
2	1	fmps	fmps_2_1
2	1	gai	gai_2_1
2	1	gmps	gmps_2_1
2	1	h450	h450_2_1
2	1	h750	h750_2_1
2	1	hai	hai_2_1
2	1	hd1	hd1_2_1
2	1	hmps	hmps_2_1
2	1	mai	mai_2_1
2	1	mmps	mmps_2_1
2	1	pag	pag_2_1
2	1	pcc	pcc_2_1
2	1	pcd	pcd_2_1
2	1	pcf	pcf_2_1
2	1	pcri	pcri_2_1
2	1	pes	pes_2_1
2	1	pfld	pfld_2_1
2	1	pgr	pgr_2_1
2	1	phu	phu_2_1
2	1	plu	plu_2_1
2	1	pmf	pmf_2_1
2	1	pmu	pmu_2_1
2	1	psg	psg_2_1
2	1	pslp	pslp_2_1
2	1	pstr	pstr_2_1
2	1	pub	pub_2_1
2	1	pwa	pwa_2_1
2	1	pwet	pwet_2_1
2	1	shei	shei_2_1
2	1	sslp	sslp_2_1
2	1	tbl	tbl_2_1
2	1	tiv	tiv_2_1
2	1	ugl	ugl_2_1
3	1	aai	aai_3_1
3	1	amps	amps_3_1
3	1	blmz	blmz_3_1
3	1	c450	c450_3_1
3	1	c750	c750_3_1
3	1	cd1	cd1_3_1
3	1	constant	constant_3_1
3	1	crit	crit_3_1
3	1	dag	dag_3_1
3	1	dc	dc_3_1
3	1	dcbd	dcbd_3_1
3	1	dcri	dcri_3_1
3	1	ddt1	ddt1_3_1
3	1	de	de_3_1
3	1	dfre	dfre_3_1
3	1	di	di_3_1
3	1	dloc	dloc_3_1
3	1	dmu	dmu_3_1
3	1	dnlr	dnlr_3_1
3	1	dos	dos_3_1
3	1	dprd	dprd_3_1
3	1	dpub	dpub_3_1
3	1	dres	dres_3_1
3	1	dt1	dt1_3_1
3	1	dtim	dtim_3_1
3	1	dwat	dwat_3_1
3	1	dwet	dwet_3_1
3	1	fai	fai_3_1
3	1	fmps	fmps_3_1
3	1	gai	gai_3_1
3	1	gmps	gmps_3_1
3	1	h450	h450_3_1
3	1	h750	h750_3_1
3	1	hai	hai_3_1
3	1	hd1	hd1_3_1
3	1	hmps	hmps_3_1
3	1	mai	mai_3_1
3	1	mmps	mmps_3_1
3	1	pag	pag_3_1
3	1	pcc	pcc_3_1
3	1	pcd	pcd_3_1
3	1	pcf	pcf_3_1
3	1	pcri	pcri_3_1
3	1	pes	pes_3_1
3	1	pfld	pfld_3_1
3	1	pgr	pgr_3_1
3	1	phu	phu_3_1
3	1	plu	plu_3_1
3	1	pmf	pmf_3_1
3	1	pmu	pmu_3_1
3	1	psg	psg_3_1
3	1	pslp	pslp_3_1
3	1	pstr	pstr_3_1
3	1	pub	pub_3_1
3	1	pwa	pwa_3_1
3	1	pwet	pwet_3_1
3	1	shei	shei_3_1
3	1	sslp	sslp_3_1
3	1	tbl	tbl_3_1
3	1	tiv	tiv_3_1
3	1	ugl	ugl_3_1
3	2	aai	aai_3_2
3	2	amps	amps_3_2
3	2	blmz	blmz_3_2
3	2	c450	c450_3_2
3	2	c750	c750_3_2
3	2	cd1	cd1_3_2
3	2	constant	constant_3_2
3	2	crit	crit_3_2
3	2	dag	dag_3_2
3	2	dc	dc_3_2
3	2	dcbd	dcbd_3_2
3	2	dcri	dcri_3_2
3	2	ddt1	ddt1_3_2
3	2	de	de_3_2
3	2	dfre	dfre_3_2
3	2	di	di_3_2
3	2	dloc	dloc_3_2
3	2	dmu	dmu_3_2
3	2	dnlr	dnlr_3_2
3	2	dos	dos_3_2
3	2	dprd	dprd_3_2
3	2	dpub	dpub_3_2
3	2	dres	dres_3_2
3	2	dt1	dt1_3_2
3	2	dtim	dtim_3_2
3	2	dwat	dwat_3_2
3	2	dwet	dwet_3_2
3	2	fai	fai_3_2
3	2	fmps	fmps_3_2
3	2	gai	gai_3_2
3	2	gmps	gmps_3_2
3	2	h450	h450_3_2
3	2	h750	h750_3_2
3	2	hai	hai_3_2
3	2	hd1	hd1_3_2
3	2	hmps	hmps_3_2
3	2	mai	mai_3_2
3	2	mmps	mmps_3_2
3	2	pag	pag_3_2
3	2	pcc	pcc_3_2
3	2	pcd	pcd_3_2
3	2	pcf	pcf_3_2
3	2	pcri	pcri_3_2
3	2	pes	pes_3_2
3	2	pfld	pfld_3_2
3	2	pgr	pgr_3_2
3	2	phu	phu_3_2
3	2	plu	plu_3_2
3	2	pmf	pmf_3_2
3	2	pmu	pmu_3_2
3	2	psg	psg_3_2
3	2	pslp	pslp_3_2
3	2	pstr	pstr_3_2
3	2	pub	pub_3_2
3	2	pwa	pwa_3_2
3	2	pwet	pwet_3_2
3	2	shei	shei_3_2
3	2	sslp	sslp_3_2
3	2	tbl	tbl_3_2
3	2	tiv	tiv_3_2
3	2	ugl	ugl_3_2
4	2	aai	aai_4_2
4	2	amps	amps_4_2
4	2	blmz	blmz_4_2
4	2	c450	c450_4_2
4	2	c750	c750_4_2
4	2	cd1	cd1_4_2
4	2	constant	constant_4_2
4	2	crit	crit_4_2
4	2	dag	dag_4_2
4	2	dc	dc_4_2
4	2	dcbd	dcbd_4_2
4	2	dcri	dcri_4_2
4	2	ddt1	ddt1_4_2
4	2	de	de_4_2
4	2	dfre	dfre_4_2
4	2	di	di_4_2
4	2	dloc	dloc_4_2
4	2	dmu	dmu_4_2
4	2	dnlr	dnlr_4_2
4	2	dos	dos_4_2
4	2	dprd	dprd_4_2
4	2	dpub	dpub_4_2
4	2	dres	dres_4_2
4	2	dt1	dt1_4_2
4	2	dtim	dtim_4_2
4	2	dwat	dwat_4_2
4	2	dwet	dwet_4_2
4	2	fai	fai_4_2
4	2	fmps	fmps_4_2
4	2	gai	gai_4_2
4	2	gmps	gmps_4_2
4	2	h450	h450_4_2
4	2	h750	h750_4_2
4	2	hai	hai_4_2
4	2	hd1	hd1_4_2
4	2	hmps	hmps_4_2
4	2	mai	mai_4_2
4	2	mmps	mmps_4_2
4	2	pag	pag_4_2
4	2	pcc	pcc_4_2
4	2	pcd	pcd_4_2
4	2	pcf	pcf_4_2
4	2	pcri	pcri_4_2
4	2	pes	pes_4_2
4	2	pfld	pfld_4_2
4	2	pgr	pgr_4_2
4	2	phu	phu_4_2
4	2	plu	plu_4_2
4	2	pmf	pmf_4_2
4	2	pmu	pmu_4_2
4	2	psg	psg_4_2
4	2	pslp	pslp_4_2
4	2	pstr	pstr_4_2
4	2	pub	pub_4_2
4	2	pwa	pwa_4_2
4	2	pwet	pwet_4_2
4	2	shei	shei_4_2
4	2	sslp	sslp_4_2
4	2	tbl	tbl_4_2
4	2	tiv	tiv_4_2
4	2	ugl	ugl_4_2
4	1	aai	aai_4_3
4	1	amps	amps_4_3
4	1	blmz	blmz_4_3
4	1	c450	c450_4_3
4	1	c750	c750_4_3
4	1	cd1	cd1_4_3
4	1	constant	constant_4_3
4	1	crit	crit_4_3
4	1	dag	dag_4_3
4	1	dc	dc_4_3
4	1	dcbd	dcbd_4_3
4	1	dcri	dcri_4_3
4	1	ddt1	ddt1_4_3
4	1	de	de_4_3
4	1	dfre	dfre_4_3
4	1	di	di_4_3
4	1	dloc	dloc_4_3
4	1	dmu	dmu_4_3
4	1	dnlr	dnlr_4_3
4	1	dos	dos_4_3
4	1	dprd	dprd_4_3
4	1	dpub	dpub_4_3
4	1	dres	dres_4_3
4	1	dt1	dt1_4_3
4	1	dtim	dtim_4_3
4	1	dwat	dwat_4_3
4	1	dwet	dwet_4_3
4	1	fai	fai_4_3
4	1	fmps	fmps_4_3
4	1	gai	gai_4_3
4	1	gmps	gmps_4_3
4	1	h450	h450_4_3
4	1	h750	h750_4_3
4	1	hai	hai_4_3
4	1	hd1	hd1_4_3
4	1	hmps	hmps_4_3
4	1	mai	mai_4_3
4	1	mmps	mmps_4_3
4	1	pag	pag_4_3
4	1	pcc	pcc_4_3
4	1	pcd	pcd_4_3
4	1	pcf	pcf_4_3
4	1	pcri	pcri_4_3
4	1	pes	pes_4_3
4	1	pfld	pfld_4_3
4	1	pgr	pgr_4_3
4	1	phu	phu_4_3
4	1	plu	plu_4_3
4	1	pmf	pmf_4_3
4	1	pmu	pmu_4_3
4	1	psg	psg_4_3
4	1	pslp	pslp_4_3
4	1	pstr	pstr_4_3
4	1	pub	pub_4_3
4	1	pwa	pwa_4_3
4	1	pwet	pwet_4_3
4	1	shei	shei_4_3
4	1	sslp	sslp_4_3
4	1	tbl	tbl_4_3
4	1	tiv	tiv_4_3
4	1	ugl	ugl_4_3
5	1	aai	aai_5_1
5	1	amps	amps_5_1
5	1	blmz	blmz_5_1
5	1	c450	c450_5_1
5	1	c750	c750_5_1
5	1	cd1	cd1_5_1
5	1	constant	constant_5_1
5	1	crit	crit_5_1
5	1	dag	dag_5_1
5	1	dc	dc_5_1
5	1	dcbd	dcbd_5_1
5	1	dcri	dcri_5_1
5	1	ddt1	ddt1_5_1
5	1	de	de_5_1
5	1	dfre	dfre_5_1
5	1	di	di_5_1
5	1	dloc	dloc_5_1
5	1	dmu	dmu_5_1
5	1	dnlr	dnlr_5_1
5	1	dos	dos_5_1
5	1	dprd	dprd_5_1
5	1	dpub	dpub_5_1
5	1	dres	dres_5_1
5	1	dt1	dt1_5_1
5	1	dtim	dtim_5_1
5	1	dwat	dwat_5_1
5	1	dwet	dwet_5_1
5	1	fai	fai_5_1
5	1	fmps	fmps_5_1
5	1	gai	gai_5_1
5	1	gmps	gmps_5_1
5	1	h450	h450_5_1
5	1	h750	h750_5_1
5	1	hai	hai_5_1
5	1	hd1	hd1_5_1
5	1	hmps	hmps_5_1
5	1	mai	mai_5_1
5	1	mmps	mmps_5_1
5	1	pag	pag_5_1
5	1	pcc	pcc_5_1
5	1	pcd	pcd_5_1
