count	ct_ht	hhsize	income	age_range
1	1@-10	1	NULL	NULL
1	1@-10	1	2	NULL
1	1@-10	2	2	NULL
1	1@-10	3	2	NULL
1	1@1	1	2	51-65
1	1@1	2	NULL	51-65
1	1@1	2	1	51-65
1	1@1	2	2	41-50
1	1@1	3	1	41-50
1	1@1	3	2	31-40
1	1@1	4	2	31-40
1	1@1	4	2	41-50
1	1@10	2	1	>65
1	1@10	2	2	NULL
1	1@10	2	2	51-65
1	1@10	3	2	31-40
1	1@10	5	2	NULL
1	1@100	1	NULL	51-65
1	1@100	1	2	31-40
1	1@100	1	2	51-65
1	1@100	2	2	31-40
2	1@100	2	2	41-50
1	1@100	3	2	31-40
2	1@100	4	2	31-40
1	1@100	4	2	41-50
1	1@101	1	1	41-50
1	1@101	1	1	<=30
1	1@101	1	1	>65
1	1@101	1	2	>65
1	1@101	2	2	51-65
2	1@101	3	2	31-40
1	1@101	3	2	41-50
1	1@101	3	2	<=30
1	1@101	4	2	41-50
1	1@101	7	2	41-50
1	1@102	1	1	31-40
2	1@102	1	1	>65
1	1@102	1	2	41-50
1	1@102	2	1	>65
2	1@102	2	2	31-40
1	1@102	2	2	41-50
1	1@102	2	2	51-65
2	1@102	3	2	31-40
1	1@102	3	2	41-50
1	1@102	3	2	>65
1	1@102	4	2	41-50
1	1@103	2	2	31-40
1	1@103	3	2	41-50
1	1@103	4	1	31-40
1	1@103	4	2	41-50
1	1@104	1	2	51-65
1	1@104	1	2	>65
1	1@104	2	1	31-40
1	1@104	2	2	>65
1	1@104	3	1	>65
2	1@104	3	2	41-50
1	1@104	4	2	41-50
1	1@105	2	2	51-65
1	1@106	1	1	>65
1	1@106	3	2	41-50
1	1@106	3	2	51-65
1	1@107	2	NULL	51-65
1	1@108	1	2	41-50
1	1@108	2	2	41-50
1	1@109	2	2	>65
1	1@11	2	NULL	>65
1	1@11	2	1	41-50
2	1@11	2	2	41-50
1	1@11	2	2	51-65
2	1@11	2	2	<=30
1	1@11	3	2	31-40
1	1@11	3	2	51-65
1	1@11	4	2	41-50
1	1@11	8	2	<=30
1	1@110	1	1	>65
1	1@110	1	2	>65
