coefficient_name:S21,estimate:f8,standard_error:f8,sub_model_id:i2,t_statistic:f8
CBAnwCty,-0.243333667517,0.505606651306,1,-0.481270700693
CDGhighw,-0.0524816401303,0.0319921039045,1,-1.64045608044
CLEmpTot_lag1,0.37863099575,0.133092939854,1,2.84486150742
CNGtrainSt,0.0272357594222,0.11375502497,1,0.239424675703
CQEsec2dst_lag1,-308710.0,151157.25,1,-2.04231023788
CQEsec3dst_lag1,209009.171875,225055.140625,1,0.928702056408
CQEsec4dst_lag1,26803.8789062,81949.390625,1,0.327078431845
CQEsec5dst_lag1,-91961.7265625,200058.453125,1,-0.459674298763
CQEsec8dst_lag1,76489.8671875,50219.109375,1,1.52312278748
CRRdensPop,0.040687918663,0.0288433935493,1,1.41064953804
ctdtcd,0.00774112762883,0.00377634819597,1,2.04989767075
ctdvpd,-0.0213110633194,0.0354961194098,1,-0.600377261639
CBAnwCty,-0.147901669145,0.0488557964563,2,-3.02731060982
CDGhighw,-0.00885870214552,0.00485457712784,2,-1.82481431961
CLEmpTot_lag1,0.392770797014,0.0304106008261,2,12.9155883789
CLOActPotSt,0.453801780939,0.0346875116229,2,13.0825691223
CNGsubwSP,-0.000617607380264,0.00400834856555,2,-0.15408025682
CNGtrainSt,0.012251493521,0.00710050808266,2,1.72543895245
CQEsec2dst_lag1,64630.7929688,5475.69677734,2,11.8032093048
CQEsec3dst_lag1,183508.671875,23119.078125,2,7.93754291534
CQEsec4dst_lag1,35941.609375,6450.0078125,2,5.57233572006
CQEsec5dst_lag1,-24845.0996094,8720.53320312,2,-2.84903454781
CQEsec8dst_lag1,-12055.7294922,2619.11962891,2,-4.60297012329
CRRdensPop,0.0332225114107,0.00235498766415,2,14.1072978973
CTPNiv1,1.16961312294,0.295426726341,2,3.95906329155
CTPNiv2,1.16010963917,0.170072615147,2,6.82126045227
biotech,-0.129181295633,0.052076511085,2,-2.48060584068
clichy_montfermeil,-0.0962775722146,0.102670446038,2,-0.93773406744
confluence,0.0125520983711,0.0787526220083,2,0.159386411309
ctdtcd,-0.00121780205518,0.000579458195716,2,-2.10162186623
ctdvpd,0.00627160537988,0.00237465277314,2,2.64106202126
descates,0.220584318042,0.0597354248166,2,3.69268846512
la_defense,-0.312888622284,0.0709401741624,2,-4.41059827805
le_bourget,0.00147620914504,0.0990335792303,2,0.0149061474949
paris_pole,0.426951676607,0.0922491028905,2,4.62824726105
pleyel,0.110953941941,0.0694994330406,2,1.59647262096
