year:i4	action:S20	attribute:S40	amount:i4	building_id:i4	zone_id:i4	building_type_id:i4
2022	add_value	residential_units	876	6175	-1	-1
2031	add_value	residential_units	4015	6176	-1	-1
2021	add_value	residential_units	933	6177	-1	-1
2023	add_value	residential_units	5797	6178	-1	-1
2023	add_value	residential_units	43	6211	-1	-1
2028	add_value	residential_units	787	6212	-1	-1
2020	add_value	residential_units	142	6213	-1	-1
2025	add_value	residential_units	1032	6214	-1	-1
2020	add_value	residential_units	312	6217	-1	-1
2020	add_value	residential_units	865	6218	-1	-1
2026	add_value	residential_units	56	6219	-1	-1
2032	add_value	residential_units	532	6220	-1	-1
2030	add_value	residential_units	363	6271	-1	-1
2024	add_value	residential_units	793	6272	-1	-1
2032	add_value	residential_units	159	6273	-1	-1
2030	add_value	residential_units	1857	6274	-1	-1
2030	add_value	residential_units	642	6277	-1	-1
2028	add_value	residential_units	559	6278	-1	-1
2026	add_value	residential_units	594	6279	-1	-1
2033	add_value	residential_units	1314	6280	-1	-1
2026	add_value	residential_units	124	6367	-1	-1
2031	add_value	residential_units	1712	6368	-1	-1
2026	add_value	residential_units	73	6369	-1	-1
2032	add_value	residential_units	3252	6370	-1	-1
2030	add_value	residential_units	175	6385	-1	-1
2029	add_value	residential_units	1521	6386	-1	-1
2022	add_value	residential_units	102	6387	-1	-1
2027	add_value	residential_units	489	6388	-1	-1
2031	add_value	residential_units	232	4807	-1	-1
2032	add_value	residential_units	184	4808	-1	-1
2021	add_value	residential_units	112	4809	-1	-1
2021	add_value	residential_units	857	4810	-1	-1
2024	add_value	residential_units	6	5329	-1	-1
2027	add_value	residential_units	907	5330	-1	-1
2029	add_value	residential_units	9	5331	-1	-1
2023	add_value	residential_units	398	5332	-1	-1
2025	add_value	residential_units	75	5569	-1	-1
2027	add_value	residential_units	187	5570	-1	-1
2029	add_value	residential_units	139	5571	-1	-1
2032	add_value	residential_units	102	5572	-1	-1
2033	add_value	residential_units	22	5965	-1	-1
2023	add_value	residential_units	231	5966	-1	-1
2022	add_value	residential_units	57	5967	-1	-1
2027	add_value	residential_units	859	5968	-1	-1
2024	add_value	residential_units	3	5995	-1	-1
2032	add_value	residential_units	3242	5996	-1	-1
2025	add_value	residential_units	7	5997	-1	-1
2030	add_value	residential_units	3912	5998	-1	-1
2025	add_value	residential_units	190	6007	-1	-1
2029	add_value	residential_units	4499	6008	-1	-1
2033	add_value	residential_units	67	6009	-1	-1
2027	add_value	residential_units	8696	6010	-1	-1
2032	add_value	residential_units	30	6031	-1	-1
2022	add_value	residential_units	852	6032	-1	-1
2031	add_value	residential_units	3	6033	-1	-1
2033	add_value	residential_units	2371	6034	-1	-1
2023	add_value	residential_units	10	6067	-1	-1
2022	add_value	residential_units	986	6068	-1	-1
2024	add_value	residential_units	1	6069	-1	-1
2023	add_value	residential_units	1658	6070	-1	-1
2033	add_value	residential_units	765	6086	-1	-1
2025	add_value	residential_units	1826	6088	-1	-1
