year_id	t_max1	t_max2	t_max3	t_max4	t_max5	t_max6	p_tot1	p_tot2	p_tot3	p_tot4	p_tot5	p_tot6	p_avg1	p_avg2	p_avg3	p_avg4	p_avg5	p_avg6
1990	8.1	14.2	18.7	25.9	18.5	7.7	333.5	130.0	127.8	32.8	148.3	364.2	5.7	2.1	2.1	0.5	2.4	6.0
1991	9.8	12.2	18.0	25.2	19.7	10.1	232.4	284.2	68.1	62.2	33.3	219.5	3.9	4.7	1.1	1.0	0.5	3.6
1992	11.1	15.8	23.0	25.0	18.3	8.2	277.1	147.3	32.0	39.4	91.4	245.4	4.6	2.4	0.5	0.6	1.5	4.0
1993	8.2	13.6	20.4	22.1	20.0	8.9	112.8	237.2	135.6	36.3	39.9	169.7	1.9	3.9	2.2	0.6	0.7	2.8
1994	8.8	14.7	20.1	25.5	19.2	8.3	177.3	138.2	68.1	14.7	132.1	354.1	3.0	2.3	1.1	0.2	2.2	5.8
1995	10.9	14.3	21.7	23.4	19.0	10.5	240.0	155.4	57.7	80.0	122.9	426.0	4.1	2.5	0.9	1.3	2.0	7.0
1996	8.5	13.7	18.2	25.5	17.0	7.8	398.5	188.7	67.6	53.1	187.7	391.4	6.6	3.1	1.1	0.9	3.1	6.4
1997	8.4	12.1	17.3	24.3	17.8	10.8	228.9	316.7	89.2	62.7	234.7	166.6	3.9	5.2	1.5	1.0	3.8	2.7
1998	9.4	13.2	18.1	25.2	19.0	8.6	265.7	125.7	78.5	19.3	106.7	523.2	4.5	2.1	1.3	0.3	1.7	8.6
1999	8.2	12.2	17.0	22.5	18.4	9.8	350.3	130.8	101.1	53.3	61.7	372.4	5.9	2.1	1.7	0.9	1.0	6.1
2000	8.6	12.7	18.3	22.9	17.8	8.4	229.1	109.2	124.0	14.2	104.6	146.8	3.8	1.8	2.0	0.2	1.7	2.4
2001	8.7	12.0	18.4	20.7	16.8	9.5	121.2	149.6	112.8	85.1	100.6	384.8	2.1	2.5	1.8	1.4	1.6	6.3
2002	8.0	9.0	18.6	23.9	17.7	10.3	257.8	180.6	72.1	17.3	27.7	241.0	4.4	3.0	1.2	0.3	0.5	4.0
